codigo,descricao,periodo,valor,arquivo
6a,"Índice de Nível 1, considerando:
- Numerador: corresponde à linha 2a
- Denominador: corresponde à linha 4b",2025-06-30,0.13216887741063157,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
6a,"Índice de Nível 1, considerando:
- Numerador: corresponde à linha 2a
- Denominador: corresponde à linha 4b",2025-06-30,0.1322,anexo-pilar3-circular-3930-q4-2025.xlsx
7,Índice de Basileia,2025-06-30,0.159,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
7,Índice de Basileia,2025-06-30,0.159,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
7,Índice de Basileia,2025-06-30,0.159,anexo-pilar3-circular-3930-q4-2025.xlsx
7a,"Índice de Basileia, considerando:
- Numerador: corresponde à linha 3a
- Denominador: corresponde à linha 4b",2025-06-30,0.1494,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
7a,"Índice de Basileia, considerando:
- Numerador: corresponde à linha 3a
- Denominador: corresponde à linha 4b",2025-06-30,0.14941937336834418,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
7a,"Índice de Basileia, considerando:
- Numerador: corresponde à linha 3a
- Denominador: corresponde à linha 4b",2025-06-30,0.1494,anexo-pilar3-circular-3930-q4-2025.xlsx
8,Adicional de Conservação de Capital Principal - ACPConservação (%),2025-06-30,0.025,anexo-pilar3-circular-3930-q2-2025__1_.xlsx
8,Adicional de Conservação de Capital Principal - ACPConservação (%),2025-06-30,0.025,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
8,Adicional de Conservação de Capital Principal - ACPConservação (%),2025-06-30,0.025,anexo-pilar3-circular-3930-q4-2025.xlsx
1,Capital Principal,2025-09-30,18730917040.98,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
1,Capital Principal,2025-09-30,18730917041.0,anexo-pilar3-circular-3930-q4-2025.xlsx
11,ACP total (%),2025-09-30,0.025,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
11,ACP total (%),2025-09-30,0.025,anexo-pilar3-circular-3930-q4-2025.xlsx
12,Margem excedente de Capital Principal (%),2025-09-30,0.0488,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
12,Margem excedente de Capital Principal (%),2025-09-30,0.0488,anexo-pilar3-circular-3930-q4-2025.xlsx
12a,Margem excedente de Capital Principal (%) considerando o Capital Principal conforme linha 1a,2025-09-30,0.03978228975,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
12a,Margem excedente de Capital Principal (%) considerando o Capital Principal conforme linha 1a,2025-09-30,0.0398,anexo-pilar3-circular-3930-q4-2025.xlsx
1a,"Capital Principal corresponde à linha 1 deduzindo, conforme aplicável, o valor estabelecido pelo:
- art. 4º, caput, inciso I, alínea “i”, e §§ 8º e 9º, da Resolução CMN nº 4.955, de 21 de outubro de 2021; ou
- art. 3º, caput, inciso I, alínea “i”, §§ 8º e 9º, da Resolução BCB nº 199, de 11 de março de 2022.",2025-09-30,17125636011.93,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
1a,"Capital Principal corresponde à linha 1 deduzindo, conforme aplicável, o valor estabelecido pelo:
- art. 4º, caput, inciso I, alínea “i”, e §§ 8º e 9º, da Resolução CMN nº 4.955, de 21 de outubro de 2021; ou
- art. 3º, caput, inciso I, alínea “i”, §§ 8º e 9º, da Resolução BCB nº 199, de 11 de março de 2022.",2025-09-30,17125636012.0,anexo-pilar3-circular-3930-q4-2025.xlsx
2,Nível I,2025-09-30,20550340602.31,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
2,Nível I,2025-09-30,20550340602.0,anexo-pilar3-circular-3930-q4-2025.xlsx
2a,Nível I considerando a apuração do Capital Principal conforme linha 1a ,2025-09-30,18945059573.260002,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
2a,Nível I considerando a apuração do Capital Principal conforme linha 1a ,2025-09-30,18945059573.0,anexo-pilar3-circular-3930-q4-2025.xlsx
3,Patrimônio de Referência (PR),2025-09-30,22991259991.45,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
3,Patrimônio de Referência (PR),2025-09-30,22991259991.0,anexo-pilar3-circular-3930-q4-2025.xlsx
3a,Patrimônio de Referência (PR) considerando a apuração do Capital Principal conforme linha 1a ,2025-09-30,21385978962.4,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
3a,Patrimônio de Referência (PR) considerando a apuração do Capital Principal conforme linha 1a ,2025-09-30,21385978962.0,anexo-pilar3-circular-3930-q4-2025.xlsx
4,RWA total,2025-09-30,157601626621.93,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
4,RWA total,2025-09-30,157601626622.0,anexo-pilar3-circular-3930-q4-2025.xlsx
4b,"RWA corresponde à linha 4 deduzindo, conforme aplicável, o valor referente ao inciso XII do caput do art. 4º ponderado pelo Fator de Ponderação de Risco (FPR) estabelecido no art. 82-A, ambos os comandos da Resolução 229, de 12 de maio de 2022.",2025-09-30,155996345592.88,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
4b,"RWA corresponde à linha 4 deduzindo, conforme aplicável, o valor referente ao inciso XII do caput do art. 4º ponderado pelo Fator de Ponderação de Risco (FPR) estabelecido no art. 82-A, ambos os comandos da Resolução 229, de 12 de maio de 2022.",2025-09-30,155996345593.0,anexo-pilar3-circular-3930-q4-2025.xlsx
5,Índice de Capital Principal (ICP),2025-09-30,0.1188,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
5,Índice de Capital Principal (ICP),2025-09-30,0.1188,anexo-pilar3-circular-3930-q4-2025.xlsx
5a,"Índice de Capital Principal (ICP) considerando: 
- Numerador: corresponde à linha 1a 
- Denominador: corresponde à linha 4b",2025-09-30,0.10978228975071355,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
5a,"Índice de Capital Principal (ICP) considerando: 
- Numerador: corresponde à linha 1a 
- Denominador: corresponde à linha 4b",2025-09-30,0.1098,anexo-pilar3-circular-3930-q4-2025.xlsx
6,Índice de Nível 1 (%),2025-09-30,0.1304,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
6,Índice de Nível 1 (%),2025-09-30,0.1304,anexo-pilar3-circular-3930-q4-2025.xlsx
6a,"Índice de Nível 1, considerando:
- Numerador: corresponde à linha 2a
- Denominador: corresponde à linha 4b",2025-09-30,0.12144553451721816,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
6a,"Índice de Nível 1, considerando:
- Numerador: corresponde à linha 2a
- Denominador: corresponde à linha 4b",2025-09-30,0.1214,anexo-pilar3-circular-3930-q4-2025.xlsx
7,Índice de Basileia,2025-09-30,0.1459,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
7,Índice de Basileia,2025-09-30,0.1459,anexo-pilar3-circular-3930-q4-2025.xlsx
7a,"Índice de Basileia, considerando:
- Numerador: corresponde à linha 3a
- Denominador: corresponde à linha 4b",2025-09-30,0.13709282022678423,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
7a,"Índice de Basileia, considerando:
- Numerador: corresponde à linha 3a
- Denominador: corresponde à linha 4b",2025-09-30,0.1371,anexo-pilar3-circular-3930-q4-2025.xlsx
8,Adicional de Conservação de Capital Principal - ACPConservação (%),2025-09-30,0.025,anexo-pilar3-circular-3930-q3-2025__1_.xlsx
8,Adicional de Conservação de Capital Principal - ACPConservação (%),2025-09-30,0.025,anexo-pilar3-circular-3930-q4-2025.xlsx
1,Capital Principal,2025-12-31,22232143532.0,anexo-pilar3-circular-3930-q4-2025.xlsx
11,ACP total (%),2025-12-31,0.025,anexo-pilar3-circular-3930-q4-2025.xlsx
12,Margem excedente de Capital Principal (%),2025-12-31,0.0599,anexo-pilar3-circular-3930-q4-2025.xlsx
12a,Margem excedente de Capital Principal (%) considerando o Capital Principal conforme linha 1a,2025-12-31,0.0517,anexo-pilar3-circular-3930-q4-2025.xlsx
1a,"Capital Principal corresponde à linha 1 deduzindo, conforme aplicável, o valor estabelecido pelo:
- art. 4º, caput, inciso I, alínea “i”, e §§ 8º e 9º, da Resolução CMN nº 4.955, de 21 de outubro de 2021; ou
- art. 3º, caput, inciso I, alínea “i”, §§ 8º e 9º, da Resolução BCB nº 199, de 11 de março de 2022.",2025-12-31,20626862503.0,anexo-pilar3-circular-3930-q4-2025.xlsx
2,Nível I,2025-12-31,24579306522.0,anexo-pilar3-circular-3930-q4-2025.xlsx
2a,Nível I considerando a apuração do Capital Principal conforme linha 1a ,2025-12-31,22974025493.0,anexo-pilar3-circular-3930-q4-2025.xlsx
3,Patrimônio de Referência (PR),2025-12-31,28354236075.0,anexo-pilar3-circular-3930-q4-2025.xlsx
3a,Patrimônio de Referência (PR) considerando a apuração do Capital Principal conforme linha 1a ,2025-12-31,26748955046.0,anexo-pilar3-circular-3930-q4-2025.xlsx
4,RWA total,2025-12-31,171142037672.0,anexo-pilar3-circular-3930-q4-2025.xlsx
4b,"RWA corresponde à linha 4 deduzindo, conforme aplicável, o valor referente ao inciso XII do caput do art. 4º ponderado pelo Fator de Ponderação de Risco (FPR) estabelecido no art. 82-A, ambos os comandos da Resolução 229, de 12 de maio de 2022.",2025-12-31,169536756643.0,anexo-pilar3-circular-3930-q4-2025.xlsx
5,Índice de Capital Principal (ICP),2025-12-31,0.1299,anexo-pilar3-circular-3930-q4-2025.xlsx
5a,"Índice de Capital Principal (ICP) considerando: 
- Numerador: corresponde à linha 1a 
- Denominador: corresponde à linha 4b",2025-12-31,0.1217,anexo-pilar3-circular-3930-q4-2025.xlsx
6,Índice de Nível 1 (%),2025-12-31,0.1436,anexo-pilar3-circular-3930-q4-2025.xlsx
6a,"Índice de Nível 1, considerando:
- Numerador: corresponde à linha 2a
- Denominador: corresponde à linha 4b",2025-12-31,0.1355,anexo-pilar3-circular-3930-q4-2025.xlsx
7,Índice de Basileia,2025-12-31,0.1657,anexo-pilar3-circular-3930-q4-2025.xlsx
7a,"Índice de Basileia, considerando:
- Numerador: corresponde à linha 3a
- Denominador: corresponde à linha 4b",2025-12-31,0.1578,anexo-pilar3-circular-3930-q4-2025.xlsx
8,Adicional de Conservação de Capital Principal - ACPConservação (%),2025-12-31,0.025,anexo-pilar3-circular-3930-q4-2025.xlsx
